name,total_points,saves,conceded,creativity,influence,threat,bonus,BPS,ICT_index,clean_sheets,position
Antonio Rudiger,93,0,10,83.8,368.6,201,9,429,65.4,11,DEF
Kyle Walker-Peters,93,0,41,262.2,497.6,316,7,498,107.5,9,DEF
Thiago Silva,92,0,25,84.9,537.8,223,10,481,84.5,10,DEF
Paul Pogba,92,0,26,376.0,451.4,401,11,355,122.5,5,MID
Kyle Walker,91,0,20,200.9,332.2,88,7,410,62.1,9,DEF
David de Gea,91,60,32,0.0,464.2,0,4,416,46.4,9,GK
Kai Havertz,91,0,15,307.7,325.0,514,3,268,114.2,8,MID
Rodrigo Hernandez,91,0,27,546.3,640.6,335,5,531,152.4,13,MID
Scott McTominay,91,0,25,270.5,523.2,314,4,413,110.9,9,MID
Matthew Cash,89,0,35,352.9,520.8,110,8,468,98.7,11,DEF
Sergio Reguilon,89,0,31,309.4,361.2,253,4,413,92.5,8,DEF
Rodrigo Moreno,89,0,21,409.7,398.4,617,16,341,142.4,3,FWD
Danny Welbeck,89,0,18,269.7,319.8,595,15,286,117.7,6,FWD
Toby Alderweireld,88,0,25,106.5,559.8,178,4,469,84.6,10,DEF
Bobby Decordova-Reid,88,0,32,254.1,384.8,503,6,343,114.1,9,FWD
Jannik Vestergaard,86,0,47,102.1,671.8,294,4,494,106.7,6,DEF
Diogo Jota,86,0,15,188.3,387.4,680,9,228,125.7,4,MID
Declan Rice,86,0,37,343.8,561.2,303,2,520,121.3,11,MID
Adam Webster,85,0,35,96.6,505.4,244,0,470,84.6,9,DEF
Ivan Ricardo Neves Abreu Cavaleiro,85,0,43,647.2,347.0,530,4,261,152.5,7,MID
Allan Saint-Maximin,85,0,26,394.2,376.0,418,5,278,118.9,7,MID
Charlie Taylor,83,0,42,248.5,494.4,52,5,451,79.5,8,DEF
Cheikhou Kouyate,82,0,56,103.0,574.8,134,2,438,81.3,8,MID
Christian Pulisic,82,0,21,378.8,361.4,724,3,264,146.2,7,MID
Seamus Coleman,81,0,19,268.2,322.6,189,4,371,78.0,8,DEF
Serge Aurier,80,0,22,267.6,412.2,194,4,370,87.4,6,DEF
Mason Holgate,80,0,32,126.0,432.2,80,4,426,64.1,9,DEF
Karl Darlow,80,88,43,0.0,682.4,0,6,450,68.3,4,GK
Abdoulaye Doucoure,80,0,36,319.4,433.8,267,2,421,102.1,9,MID
Lucas Moura,80,0,18,258.4,322.4,298,5,238,87.7,4,MID
Kyle Bartley,79,0,53,82.3,675.4,252,3,429,101.0,5,DEF
Darnell Furlong,79,0,63,275.0,474.4,276,2,393,102.7,6,DEF
Yerry Mina,79,0,22,23.5,496.2,200,7,399,72.3,6,DEF
Callum Robinson,79,0,42,251.3,259.0,365,8,276,86.6,3,FWD
Wilfred Ndidi,79,0,31,234.5,549.2,78,11,430,86.2,7,MID
Joseph Willock,79,0,18,137.2,436.6,401,5,254,97.3,4,MID
Ryan Bertrand,78,0,51,271.8,306.8,135,4,404,71.4,8,DEF
Gabriel Maghalaes,78,0,24,51.0,464.8,233,7,385,74.9,6,DEF
Marc Albrighton,78,0,22,544.2,412.6,282,3,325,123.9,4,MID
Willian Borges Da Silva,78,0,17,534.8,256.2,228,9,306,102.3,3,MID
Eric Dier,77,0,34,82.2,577.0,114,2,463,77.4,8,DEF
Yves Bissouma,77,0,42,295.5,523.6,196,2,487,101.1,11,MID
Leander Dendoncker,77,0,33,261.4,386.4,343,2,330,99.2,11,MID
Conor Townsend,76,0,36,343.8,440.2,154,8,402,93.7,6,DEF
Ross Barkley,76,0,24,579.3,274.2,431,4,286,128.6,8,MID
Theo Walcott,76,0,28,248.0,269.8,366,2,185,88.0,5,MID
Andre Frank Zambo Anguissa,76,0,40,409.4,507.6,312,4,391,123.1,6,MID
Craig Dawson,75,0,25,30.2,433.6,219,3,336,68.4,7,DEF
Anthony Martial,75,0,23,265.4,297.6,709,3,238,126.8,4,FWD
Daniel Castelo Podence,75,0,24,322.0,285.6,456,5,240,106.2,8,MID
Joelinton de Lira,74,0,36,250.1,357.0,612,5,258,122.2,3,FWD
Josh Brownhill,74,0,42,309.1,350.4,384,0,359,104.5,10,MID
Jonjo Shelvey,74,0,46,522.1,474.2,299,2,377,129.6,6,MID
Emile Smith Rowe,74,0,10,385.1,273.2,222,3,308,88.1,9,MID
Said Benrahma,73,0,19,371.9,301.0,371,4,255,104.6,3,MID
Joao Santos Moutinho,73,0,40,726.9,478.4,113,4,446,132.2,6,MID
Fabio Silva,72,0,29,166.1,238.2,758,5,198,114.9,0,FWD
Douglas Luiz Soares de Paulo,72,0,41,304.5,403.4,189,0,358,90.0,12,MID
Wesley Fofana,71,0,30,107.8,502.0,121,5,464,73.4,7,DEF
Pascal Struijk,71,0,32,66.3,513.0,222,2,402,80.1,7,DEF
Conor Gallagher,71,0,48,320.1,437.2,276,3,322,103.2,5,MID
Fabio Henrique Tavares,71,0,29,106.8,460.4,75,2,421,64.6,11,MID
Jordan Ayew,70,0,42,238.6,278.6,451,2,216,96.6,6,FWD
John Fleck,70,0,47,530.8,351.0,154,1,353,103.7,5,MID
Granit Xhaka,70,0,27,327.6,456.0,154,1,396,94.0,10,MID
Hakim Ziyech,70,0,7,485.6,274.8,369,8,239,112.8,10,MID
Oleksandr Zinchenko,69,0,14,295.7,272.0,134,5,353,70.3,8,DEF
Tammy Abraham,69,0,12,121.6,277.2,483,8,224,86.6,5,FWD
Solomon March,69,0,25,414.3,368.6,322,6,283,110.5,7,MID
Jacob Murphy,69,0,33,280.8,363.4,289,7,252,93.2,3,MID
Matt Phillips,69,0,42,388.2,290.0,319,3,234,99.9,3,MID
Harrison Reed,69,0,35,330.4,421.2,82,0,391,83.5,9,MID
Frederico Rodrigues de Paula Santos,69,0,25,395.6,482.6,200,1,404,108.0,12,MID
Willy Boly,68,0,29,46.1,414.0,182,4,364,64.2,6,DEF
Ainsley Maitland-Niles,68,0,23,128.9,218.2,142,1,273,48.8,6,DEF
Nathaniel Phillips,68,0,11,90.6,376.4,132,1,325,60.1,7,DEF
Kalvin Phillips,67,0,34,539.3,535.4,82,2,396,115.8,9,MID
Nathan Redmond,67,0,39,400.4,297.0,477,3,243,117.1,1,MID
Joel Ward,66,0,43,118.2,366.8,28,6,353,51.3,7,DEF
Ruben Loftus-Cheek,66,0,22,274.2,201.6,439,0,178,91.4,11,MID
Fernando Luiz Rosa,65,0,10,220.8,248.6,106,8,303,57.6,7,DEF
Alex Iwobi,65,0,21,263.1,262.6,233,1,256,76.0,5,MID
Jeffrey Schlupp,65,0,26,242.1,336.6,304,3,194,88.2,5,MID
Dan Burn,64,0,28,183.1,389.0,214,1,330,78.2,6,DEF
Jairo Riedewald,64,0,39,160.4,274.0,88,4,249,52.4,4,MID
George Baldock,63,0,51,310.7,351.4,234,2,347,89.7,4,DEF
Benjamin Mendy,63,0,10,117.1,179.8,89,8,222,38.4,5,DEF
Aleksandar Mitrovic,63,0,24,323.8,245.6,697,7,178,124.9,1,FWD
Helder Costa,63,0,23,134.3,224.2,289,2,162,64.7,3,MID
Luka Milivojevic,63,0,47,329.6,410.8,143,3,332,88.4,7,MID
Matej Vydra,62,0,24,194.0,197.4,491,2,194,87.3,3,FWD
Daniel Ceballos,62,0,17,422.3,359.8,141,7,331,92.4,6,MID
N'Golo Kante,62,0,24,347.3,449.0,96,0,375,89.7,10,MID
Andreas Christensen,61,0,17,80.9,293.4,34,9,323,40.9,8,DEF
Liam Cooper,59,0,41,17.7,620.4,259,2,454,89.8,6,DEF
Calgar Soyuncu,59,0,30,114.4,403.6,157,3,360,67.7,5,DEF
Callum Hudson-Odoi,59,0,5,471.5,291.8,336,2,239,109.9,6,MID
Max Kilman,58,0,11,67.4,249.6,78,8,258,39.4,5,DEF
Aymeric Laporte,58,0,10,78.0,233.4,85,4,286,39.6,7,DEF
Tyrick Mitchell,58,0,32,76.8,387.6,60,5,287,52.5,4,DEF
Adam Lallana,58,0,18,355.7,255.2,302,2,265,91.0,5,MID
Ayoze Perez,58,0,21,323.6,255.6,482,2,149,106.1,5,MID
Marcos Alonso,57,0,13,204.1,224.2,328,5,225,75.6,5,DEF
John Egan,57,0,48,50.9,544.6,150,4,410,74.5,4,DEF
Antonee Robinson,57,0,28,475.8,451.4,178,1,393,110.8,5,DEF
Mbaye Diagne,57,0,17,130.8,180.0,346,3,134,65.2,4,FWD
Enda Stevens,56,0,54,294.5,443.4,198,2,361,93.6,4,DEF
Jordan Henderson,56,0,23,262.3,358.0,108,2,345,72.9,4,MID
Mahmoud Ahmed Ibrahim Hassan,56,0,14,180.1,213.6,478,3,152,86.7,6,MID
Thiago Alcantara,55,0,18,460.3,378.8,178,1,331,101.9,8,MID
Steven Bergwijn,55,0,15,190.9,161.4,180,2,129,52.8,5,MID
Mario Lemina,55,0,27,169.5,294.0,134,3,267,59.9,3,MID
Rayan Ait Nouri,54,0,23,234.5,243.2,196,6,264,67.4,3,DEF
Patrick van Aanholt,54,0,36,195.3,298.6,198,5,313,69.1,4,DEF
Jay Rodriguez,54,0,25,97.4,149.8,449,2,125,68.9,4,FWD
Mateo Kovacic,54,0,26,384.8,332.4,153,0,332,87.0,9,MID
Oliver Norwood,54,0,43,516.0,415.8,57,0,355,99.1,5,MID
Gary Cahill,53,0,39,90.1,406.2,157,6,308,65.7,4,DEF
Federico Fernandez,53,0,38,91.3,522.0,64,6,376,67.5,5,DEF
Ben Davies,52,0,16,136.8,232.8,65,1,253,43.4,4,DEF
Ashley Barnes,52,0,19,243.6,153.8,548,7,107,93.8,6,FWD
Jeff Hendrick,52,0,24,99.0,211.4,95,3,177,40.3,3,MID
Matt Ritchie,52,0,22,411.9,225.8,101,5,226,73.8,3,MID
Oriol Romeu Vidal,52,0,25,229.1,349.2,98,4,264,67.6,6,MID
Oluwasemilogo Ajayi,51,0,71,88.3,574.8,202,2,342,86.4,1,DEF
Chris Basham,51,0,51,202.3,513.6,160,2,408,87.6,2,DEF
Ben Osborn,51,0,29,325.6,263.4,171,3,246,76.3,4,MID
Diego Llorente,50,0,12,51.0,293.0,115,3,255,46.0,4,DEF
Erik Pieters,50,0,19,77.0,199.4,63,5,203,34.0,3,DEF
Kenny Tete,50,0,27,312.4,330.8,98,3,288,74.2,5,DEF
Mohamed Naser El Sayed Elneny,50,0,20,99.9,200.2,79,3,258,37.8,5,MID
Johann Berg Gudmundsson,50,0,24,160.8,193.6,170,3,175,52.3,3,MID
Curtis Jones,50,0,14,233.4,224.6,289,0,226,74.8,5,MID
Tyler Roberts,49,0,19,239.0,189.4,296,0,169,72.5,4,MID
Martin Dubravka,48,45,19,0.0,346.8,0,6,255,34.6,3,GK
John Lundstram,48,0,41,346.9,245.4,206,2,244,79.3,3,MID
Alexis Mac Allister,48,0,14,210.6,170.6,235,3,148,61.5,5,MID
Takumi Minamino,48,0,18,92.3,168.2,281,2,153,54.0,2,MID
Andre Tavares Gomes,48,0,22,244.5,189.0,103,0,224,53.0,5,MID
Matt Doherty,47,0,15,182.4,257.2,79,4,222,52.0,4,DEF
Olivier Giroud,47,0,5,112.0,161.4,403,6,139,67.2,4,FWD
Tom Davies,47,0,23,112.0,205.6,30,1,209,34.7,5,MID
Allan Marques Loureiro,47,0,30,233.3,366.6,42,0,290,64.4,7,MID
Thomas Partey,47,0,18,195.7,289.4,129,0,273,61.7,6,MID
Ciaran Clark,46,0,35,29.8,402.6,105,2,291,53.9,3,DEF
Oliver Burke,46,0,21,191.8,113.8,364,0,114,65.9,1,MID
Moussa Djenepo,46,0,27,97.7,178.0,170,0,140,44.1,3,MID
Emil Krafth,45,0,27,87.7,240.4,88,0,222,41.6,5,DEF
James McArthur,45,0,26,202.2,285.2,65,3,228,55.2,4,MID
Ethan Ampadu,44,0,41,189.6,458.0,51,4,341,70.1,2,DEF
Jamaal Lascelles,44,0,32,38.1,345.2,161,3,229,54.7,2,DEF
Jamal Lewis,44,0,37,224.8,272.6,47,3,261,54.2,3,DEF
Oliver McBurnie,44,0,27,207.8,182.6,444,2,101,83.1,0,FWD
Dean Henderson,44,40,12,0.0,275.4,0,1,218,27.5,4,GK
Robbie Brady,44,0,6,133.9,174.2,168,3,157,47.2,7,MID
James Milner,44,0,10,242.0,200.0,108,2,204,55.2,4,MID
Moussa Sissoko,44,0,22,94.5,182.2,69,2,214,34.6,5,MID
Davinson Sanchez,43,0,22,20.0,319.2,114,3,256,45.5,4,DEF
Raul Jimenez,43,0,10,96.2,177.4,275,7,148,55.0,4,FWD
Daniel James,43,0,7,145.7,186.0,285,1,145,61.5,4,MID
Issa Diop,42,0,22,17.4,375.6,48,1,234,44.3,2,DEF
Arthur Masuaku,42,0,15,200.5,187.4,62,4,209,45.0,4,DEF
Joel Matip,42,0,5,42.4,179.0,84,5,194,30.6,3,DEF
David Luiz,41,0,20,46.7,250.6,144,0,230,43.9,3,DEF
Dara O'Shea,41,0,51,71.2,439.8,44,1,288,55.8,3,DEF
Jack Stephens,41,0,39,85.6,351.0,104,6,288,54.2,4,DEF
