name,total_points,saves,conceded,creativity,influence,threat,bonus,BPS,ICT_index,clean_sheets,position
Alex Oxlade-Chamberlain,21,0,6,32.9,70.8,68,0,58,17.1,0,MID
Branislav Ivanovic,20,0,19,12.7,117.8,61,0,120,19.1,2,DEF
Conor Hourihane,20,0,2,82.9,65.4,33,3,70,18.2,2,MID
Daniel Amartey,19,0,12,10.9,155.0,61,2,121,22.7,0,DEF
Fernando Marcal,19,0,9,61.7,102.6,13,0,104,17.9,1,DEF
Harry Winks,19,0,16,77.6,128.2,24,0,124,22.8,1,MID
James Tomkins,18,0,12,11.4,101.2,29,2,97,14.1,2,DEF
Filip Krovinovic,17,0,11,103.6,74.4,50,0,97,22.8,1,MID
Jamie Shackleton,17,0,11,45.7,52.0,18,0,72,11.4,1,MID
Andriy Yarmolenko,17,0,7,80.3,50.6,106,0,47,23.5,1,MID
Jonathan Castro Otto,16,0,4,31.8,61.0,14,1,58,10.8,1,DEF
Cengiz Under,16,0,5,87.5,73.4,88,0,62,24.9,0,MID
Virgil van Dijk,15,0,11,4.8,82.4,66,1,73,15.3,1,DEF
Jean-Philippe Mateta,15,0,4,16.2,46.6,80,2,45,14.0,0,FWD
Naby Keita,15,0,8,100.5,70.6,119,0,78,29.0,2,MID
Kevin Long,14,0,13,12.0,102.6,25,1,85,14.0,1,DEF
Mohammed Salisu,14,0,19,29.9,188.2,34,0,119,25.4,0,DEF
Japhet Tanganga,14,0,8,29.5,68.8,40,0,81,13.8,2,DEF
Francisco Casilla,14,8,2,0.0,68.0,0,2,58,6.8,1,GK
Hamza Choudhury,14,0,2,13.5,34.0,29,0,59,7.6,2,MID
Ian Carlo Poveda-Ocampo,14,0,5,71.5,55.0,91,0,43,21.8,0,MID
Robert Snodgrass,14,0,14,56.0,76.4,75,0,76,20.7,0,MID
Ki-Jana Hoever,13,0,11,59.7,100.4,26,0,80,18.7,0,DEF
DeAndre Yedlin,13,0,6,41.8,58.6,20,0,68,12.0,1,DEF
Carlos Vinicius Alves Morais,13,0,2,26.9,52.6,142,0,38,22.0,1,FWD
Lys Mousset,13,0,10,35.0,14.2,53,0,14,9.7,0,FWD
Daniel N'Lundulu,13,0,1,12.2,3.2,16,0,32,3.1,0,FWD
Josh Onomah,13,0,12,28.7,33.6,47,0,46,10.7,0,MID
Daniel Jebbison,12,0,2,15.1,52.4,66,1,38,13.1,2,FWD
Shane Long,12,0,6,6.4,9.8,19,0,21,3.4,1,FWD
Fabio Carvalho,12,0,6,30.8,72.4,161,0,42,26.5,0,MID
Neco Williams,11,0,1,47.8,42.0,34,0,51,12.2,1,DEF
Joshua King,11,0,2,5.6,13.4,31,0,18,5.0,0,FWD
Adrian Castillo,11,10,9,0.0,59.6,0,2,60,5.9,1,GK
Anthony Elanga,11,0,2,19.7,51.6,29,2,32,10.0,0,MID
Joseph Gomez,10,0,14,18.1,106.8,0,0,94,12.5,0,DEF
Tim Ream,10,0,13,8.1,133.6,2,0,103,14.5,0,DEF
Divock Origi,10,0,0,33.2,17.8,60,0,23,11.1,1,FWD
Caoimhin Kelleher,10,6,1,0.0,57.8,0,0,41,5.8,1,GK
Darren Randolph,10,6,3,0.0,46.2,0,0,46,4.7,1,GK
Josh Benson,10,0,7,7.9,16.0,13,0,27,3.7,1,MID
Matthew Longstaff,10,0,8,35.6,32.6,2,0,47,7.0,1,MID
Morgan Sanson,10,0,4,28.8,25.8,10,0,29,6.2,1,MID
Jimmy Dunne,9,0,6,22.1,79.6,81,0,50,18.3,0,DEF
Max Lowe,9,0,10,39.8,99.2,45,0,49,18.4,0,DEF
Andi Zeqiri,9,0,2,18.8,16.0,107,0,25,14.2,0,FWD
Owen Otasowie,9,0,6,25.9,38.2,34,0,33,9.8,0,MID
Davy Propper,9,0,2,5.1,24.0,52,0,38,8.2,0,MID
Gaetano Berardi,8,0,0,0.9,17.2,18,1,30,3.6,1,DEF
Fabian Delph,8,0,6,29.8,37.0,1,0,48,6.8,0,MID
Amad Diallo,8,0,3,31.2,38.0,9,0,34,7.8,0,MID
Billy Gilmour,8,0,2,50.9,36.0,8,0,38,9.5,1,MID
Kamil Grosicki,8,0,5,35.2,22.4,15,0,29,7.2,0,MID
Aboubakar Kamara,8,0,9,76.8,22.6,39,0,14,13.2,0,MID
Dale Stephens,8,0,4,8.3,31.0,41,0,33,8.0,0,MID
Emerson Palmieri dos Santos,7,0,0,7.7,17.4,2,0,24,2.7,1,DEF
Axel Tuanzebe,7,0,8,6.0,95.0,0,0,59,10.0,0,DEF
Scott Carson,7,2,3,0.0,37.4,0,1,27,3.7,0,GK
Percy Tau,7,0,2,35.8,26.8,6,0,31,6.9,0,MID
Eric Garcia,6,0,12,26.4,67.6,5,0,64,9.8,0,DEF
Ahmed El-Sayed Hegazy,6,0,0,0.3,19.6,0,0,24,2.0,1,DEF
Neeskens Kebano,6,0,3,14.6,1.4,47,0,13,5.9,0,MID
Bernardo Fernandes da Silva Junior,5,0,3,32.4,27.2,69,0,30,12.8,0,DEF
Kieran Gibbs,5,0,25,65.1,132.0,10,0,107,20.8,0,DEF
Phil Jagielka,5,0,12,1.9,70.6,2,0,53,7.5,0,DEF
Jonjoe Kenny,5,0,1,8.1,11.0,8,0,19,2.8,0,DEF
Brandon Williams,5,0,3,19.4,26.6,19,0,26,6.5,0,DEF
Charlie Austin,5,0,5,3.9,20.0,26,0,10,5.0,0,FWD
Kyle Edwards,5,0,3,12.8,13.0,39,0,15,6.4,0,MID
William Smallbone,5,0,5,7.4,16.8,9,0,17,3.3,0,MID
Mamadou Sakho,4,0,8,1.6,36.6,6,0,33,4.5,0,DEF
Michael Obafemi,4,0,2,10.8,5.6,4,0,12,2.0,0,FWD
Cenk Tosun,4,0,3,11.6,2.2,4,0,12,1.8,0,FWD
John Ruddy,4,3,1,0.0,25.4,0,0,19,2.5,0,GK
Wes Morgan,3,0,0,0.1,3.0,0,0,9,0.3,0,DEF
Shkodran Mustafi,3,0,1,1.0,11.6,0,0,16,1.3,0,DEF
Jack O'Connell,3,0,3,2.5,40.2,0,0,19,4.3,0,DEF
Yan Valery,3,0,4,22.1,26.0,12,0,12,6.0,0,DEF
Wesley Moraes,3,0,1,1.1,5.0,17,0,11,2.3,0,FWD
Joel Mumbongo,3,0,1,1.8,0.0,0,0,5,0.1,0,FWD
Will Norris,3,0,4,10.0,15.2,0,0,20,2.6,0,GK
Bailey Peacock-Farrell,3,10,14,0.0,82.6,0,0,49,8.2,0,GK
Sam Field,3,0,2,0.5,20.0,0,0,16,2.0,0,MID
Anthony Gordon,3,0,0,12.7,14.4,4,0,11,3.1,0,MID
Sidnei Tavares,3,0,1,1.2,9.6,9,0,10,2.0,0,MID
Phil Bardsley,2,0,8,12.9,39.4,6,0,28,5.9,0,DEF
Leif Davis,2,0,0,0.6,2.8,0,0,5,0.3,0,DEF
Sead Kolasinac,2,0,1,5.4,3.6,4,0,9,1.3,0,DEF
Terence Kongolo,2,0,1,4.7,16.8,2,0,15,2.4,0,DEF
Niels Nkounkou,2,0,1,5.7,15.0,1,0,9,2.2,0,DEF
Lee Peltier,2,0,8,20.3,45.6,0,0,25,6.7,0,DEF
Patrick Cutrone,2,0,0,0.0,0.0,4,0,5,0.2,0,FWD
Jack Butland,2,3,2,0.0,16.6,0,0,14,1.7,0,GK
David Button,2,4,2,0.0,23.4,0,0,18,2.3,0,GK
Marek Rodak,2,4,5,0.0,32.6,0,0,23,3.2,0,GK
Zack Steffen,2,1,1,0.0,9.6,0,0,8,1.0,0,GK
Joao Virginia,2,3,0,0.0,25.0,0,0,10,2.5,0,GK
Carney Chukwuemeka,2,0,0,1.1,1.0,5,0,7,0.6,0,MID
Rekeem Harper,2,0,2,2.3,6.0,7,0,7,1.6,0,MID
Reiss Nelson,2,0,0,9.7,4.2,10,0,2,2.4,0,MID
Caleb Watts,2,0,0,4.4,5.4,0,0,6,0.9,0,MID
Oskar Buur,1,0,0,0.5,0.6,0,0,2,0.1,0,DEF
Maxime Le Marchand,1,0,1,1.6,12.6,1,0,12,1.6,0,DEF
Denis Odoi,1,0,10,20.8,35.4,8,0,34,6.4,0,DEF
Ruben Vinagre,1,0,7,25.3,31.2,0,0,24,5.7,0,DEF
Jake Vokins,1,0,2,14.8,1.8,0,0,5,1.7,0,DEF
Liam Delap,1,0,4,0.3,0.0,4,0,0,0.2,0,FWD
Niall Huggins,1,0,0,0.9,2.6,2,0,4,0.6,0,FWD
Islam Slimani,1,0,1,11.7,0.2,6,0,3,1.8,0,FWD
Willy Caballero,1,0,3,0.0,4.2,0,0,7,0.4,0,GK
Alex Runnarsson,1,2,0,0.0,16.6,0,0,8,1.7,0,GK
Demarai Gray,1,0,0,1.3,0.2,3,0,3,0.5,0,MID
Timothy Fosu-Mensah,0,0,2,30.5,17.8,16,0,17,6.4,0,DEF
Michael Hector,0,0,10,11.3,40.8,18,0,32,6.9,0,DEF
Fikayo Tomori,0,0,2,0.1,26.6,0,0,8,2.7,0,DEF
Neil Taylor,-1,0,2,0.7,0.8,0,0,1,0.2,0,DEF
Kayne Ramsay,-3,0,9,0.0,13.2,0,0,5,1.3,0,DEF
